source,target,value,,,,event_type,,race,sex,cancer_type
2009,30-34,0.2,0.1,0.3,22,Mortality,9800559,All Races,Female,Pancreas
2009,35-39,0.5,0.3,0.6,48,Mortality,10292169,All Races,Female,Pancreas
2009,40-44,1.2,1,1.4,128,Mortality,10549441,All Races,Female,Pancreas
2009,45-49,3.4,3,3.7,389,Mortality,11576574,All Races,Female,Pancreas
2009,30-34,0.3,0.2,0.4,26,Mortality,9844555,All Races,Male,Pancreas
2009,35-39,0.8,0.7,1,84,Mortality,10215627,All Races,Male,Pancreas
2009,40-44,2.1,1.9,2.4,222,Mortality,10430574,All Races,Male,Pancreas
2009,45-49,4.7,4.3,5.1,526,Mortality,11285671,All Races,Male,Pancreas
2009,20-24,0.2,0.1,0.3,17,Incidence,10282997,All Races,Female,Pancreas
2009,25-29,0.3,0.2,0.4,26,Incidence,10283670,All Races,Female,Pancreas
2009,30-34,0.6,0.5,0.8,58,Incidence,9634970,All Races,Female,Pancreas
2009,35-39,1.1,0.9,1.4,115,Incidence,10126667,All Races,Female,Pancreas
2009,40-44,2.2,1.9,2.5,226,Incidence,10371349,All Races,Female,Pancreas
2009,45-49,4.7,4.4,5.2,540,Incidence,11370701,All Races,Female,Pancreas
2009,25-29,0.2,0.1,0.3,23,Incidence,10423905,All Races,Male,Pancreas
2009,30-34,0.5,0.4,0.7,53,Incidence,9673325,All Races,Male,Pancreas
2009,35-39,1.3,1.1,1.6,132,Incidence,10046585,All Races,Male,Pancreas
2009,40-44,3.2,2.9,3.6,328,Incidence,10251010,All Races,Male,Pancreas
2009,45-49,6.9,6.4,7.4,765,Incidence,11078703,All Races,Male,Pancreas
2009,25-29,0.2,0.1,0.3,24,Mortality,10466871,All Races,Female,Stomach
2009,30-34,0.4,0.3,0.6,40,Mortality,9800559,All Races,Female,Stomach
2009,35-39,0.7,0.6,0.9,75,Mortality,10292169,All Races,Female,Stomach
2009,40-44,1.2,1,1.4,123,Mortality,10549441,All Races,Female,Stomach
2009,45-49,1.5,1.2,1.7,168,Mortality,11576574,All Races,Female,Stomach
2009,25-29,0.2,0.1,0.3,22,Mortality,10611357,All Races,Male,Stomach
2009,30-34,0.4,0.3,0.6,40,Mortality,9844555,All Races,Male,Stomach
2009,35-39,0.9,0.7,1.1,88,Mortality,10215627,All Races,Male,Stomach
2009,40-44,1.4,1.2,1.6,145,Mortality,10430574,All Races,Male,Stomach
2009,45-49,2.4,2.1,2.7,270,Mortality,11285671,All Races,Male,Stomach
2009,20-24,0.2,0.1,0.3,21,Incidence,10282997,All Races,Female,Stomach
2009,25-29,0.4,0.3,0.6,45,Incidence,10283670,All Races,Female,Stomach
2009,30-34,0.8,0.7,1,80,Incidence,9634970,All Races,Female,Stomach
2009,35-39,1.5,1.2,1.7,148,Incidence,10126667,All Races,Female,Stomach
2009,40-44,2.4,2.1,2.7,245,Incidence,10371349,All Races,Female,Stomach
2009,45-49,3.5,3.1,3.8,395,Incidence,11370701,All Races,Female,Stomach
2009,25-29,0.4,0.3,0.5,39,Incidence,10423905,All Races,Male,Stomach
2009,30-34,0.9,0.8,1.2,91,Incidence,9673325,All Races,Male,Stomach
2009,35-39,1.7,1.5,2,173,Incidence,10046585,All Races,Male,Stomach
2009,40-44,3.2,2.9,3.6,330,Incidence,10251010,All Races,Male,Stomach
2009,45-49,5.5,5,5.9,605,Incidence,11078703,All Races,Male,Stomach
2009,45-49,0.3,0.2,0.4,29,Mortality,11576574,All Races,Female,Thyroid
2009,40-44,0.2,0.1,0.3,19,Mortality,10430574,All Races,Male,Thyroid
2009,45-49,0.2,0.1,0.3,25,Mortality,11285671,All Races,Male,Thyroid
2009,10-14,1.1,0.9,1.3,108,Incidence,9916548,All Races,Female,Thyroid
2009,15-19,4.1,3.8,4.5,440,Incidence,10622852,All Races,Female,Thyroid
2009,20-24,9.1,8.5,9.7,938,Incidence,10282997,All Races,Female,Thyroid
2009,25-29,17,16.2,17.8,1750,Incidence,10283670,All Races,Female,Thyroid
2009,30-34,26,25,27,2506,Incidence,9634970,All Races,Female,Thyroid
